Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
awning,0.0004913439985086651,0.0002852991804081329,0.0009251987404039604,0.0003413498034597103,0.00038690680285101284
baby,0.00049134667395619,0.000601823322676457,0.0017585249677922936,0.00031719306007463516,0.0003869098324413251
back,0.0004913456199286183,0.00028529868252171787,0.0009315667546544316,0.00031719126027234657,0.0011711922343899132
backlighting,0.0012486770962818724,0.00028531600294602746,0.00182208637817048,0.0012313196587173632,0.0003869621206302061
backpack,0.0004913170199650055,0.00028556491561378876,0.0003645627450073855,0.0014626271168743522,0.0015811530712749372
badlands,0.0004912904392564347,0.00029192090548231596,0.00036454273504861635,0.001969911506790112,0.0003868774434040569
bag,0.0004913878477130822,0.00071038231138423,0.00036724586552012425,0.00031721404820539407,0.0021434798315169553
baggage,0.0004912753136716458,0.00028527583393647487,0.0003645342860741768,0.0003171668913121629,0.0011721514786034457
bags,0.000491335575682243,0.0003057396890892791,0.000364568060290778,0.0003171925971067559,0.001854823945281904
bakeware,0.0004913280264669907,0.0019000138327530684,0.0003661525518465643,0.0003171889982991728,0.00038689700239352064
balance,0.0004912828794251689,0.0002852765206720267,0.0003645366670943516,0.0008112180506856865,0.00038686746802020635
balcony,0.0004912821278633949,0.0002852777492032925,0.0011510107188652432,0.0003171641791101273,0.00038686937077060007
ball,0.0004912971157109584,0.000285282944263465,0.00036454873419126005,0.0010071233614406846,0.0003868801549545766
bank,0.0004913752755235234,0.0007460213326956283,0.0016905835395731794,0.0003172197296225017,0.00040585137450871396
barechestedness,0.0004912798142568709,0.0002852770768244807,0.00036453775943645416,0.00031716383900519927,0.0012191797035749955
barn,0.0004913818844652152,0.0006480061705053891,0.00036538376058927027,0.0007874089127337118,0.0003869303427775195
barrenground,0.001362814326711625,0.000285275937122804,0.00036734574395520206,0.00031715949588043363,0.0003868618306473005
baseball,0.0012124861840933437,0.0002853233035692643,0.0003712889692287557,0.0007633252770293009,0.00038696384148493955
basket,0.0013103224793701443,0.0002852695869597656,0.0003645260656808377,0.0003171559345141291,0.0003868567770088375
bat,0.0022927728970020384,0.0002852778783397577,0.00036454072936994454,0.00031716524527885,0.00038686964894508227
batholith,0.000491275476413333,0.00028527581564874135,0.0003645341817881811,0.0009015423845077812,0.0003868657418491483
bay,0.0012242761615128858,0.00028527028291046503,0.0003645257607013127,0.0003171551370693667,0.00038685741614485376
